club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Clavia Świątniki Górne,2025/26,Skalnik Trzemeśnia,https://malopolskizpn.pl/rozgrywki/2025-2026/seniorzy/a_myslenice/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:1,1.00,2:1,2025-08-16,Clavia przegrywała do przerwy 0:1 i wygrała 2:1
Beskid Tokarnia,2025/26,Sokół Borzęta,https://malopolskizpn.pl/rozgrywki/2025-2026/seniorzy/a_myslenice/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:2,1.00,2:2,2025-08-15,Beskid przegrywał do przerwy 0:2 i zremisował 2:2
Jordan Zakliczyn,2025/26,Pasternik Ochojno,https://malopolskizpn.pl/rozgrywki/2025-2026/seniorzy/a_myslenice/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:1,1.00,2:2,2025-08-16,Jordan przegrywał do przerwy 0:1 i zremisował 2:2
Dalin II Myślenice,2025/26,LKS Trzebunia,https://malopolskizpn.pl/rozgrywki/2025-2026/seniorzy/a_myslenice/?view=schedule,2026-09-16,official_match_record,comeback_from,,1:2,1.00,5:3,2025-08-17,Dalin II przegrywał do przerwy 1:2 i wygrał 5:3
Dalin II Myślenice,2025/26,Skalnik Trzemeśnia,https://malopolskizpn.pl/rozgrywki/2025-2026/seniorzy/a_myslenice/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:2,1.00,2:2,2025-08-23,Dalin II przegrywał 0:2 do przerwy i zremisował 2:2
Jordan Zakliczyn,2025/26,Clavia Świątniki Górne,https://malopolskizpn.pl/rozgrywki/2025-2026/seniorzy/a_myslenice/?view=schedule,2026-09-16,official_match_record,comeback_from,,1:3,1.00,3:5,2026-05-24,Jordan przegrywał do przerwy 1:3 i wygrał 5:3 na boisku Clavii
Tempo Rzeszotary,2025/26,Beskid Tokarnia,https://malopolskizpn.pl/rozgrywki/2025-2026/seniorzy/a_myslenice/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:1,1.00,1:1,2026-04-18,Tempo przegrywało do przerwy 0:1 i wyrównało na 1:1
Pasternik Ochojno,2025/26,Dziecanovia Dziekanowice,https://malopolskizpn.pl/rozgrywki/2025-2026/seniorzy/a_myslenice/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:1,1.00,1:1,2026-04-18,Pasternik przegrywał do przerwy 0:1 i zremisował 1:1
