club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Topór Tenczyn,2026/27,Dziecanovia Dziekanowice,https://krakow.malopolskizpn.pl/rozgrywki/2026-2027/seniorzy/myslenice-klasa-a-83c3b646/?view=schedule,2026-09-16,official_match_record,comeback_from,,2:3,1.00,4:7,2026-08-22,Topór przegrywał do przerwy 2:3 i wygrał 7:4
Pasternik Ochojno,2026/27,LKS Rudnik,https://krakow.malopolskizpn.pl/rozgrywki/2026-2027/seniorzy/myslenice-klasa-a-83c3b646/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:1,1.00,3:1,2026-08-23,Pasternik przegrywał do przerwy 0:1 i wygrał 3:1
Topór Tenczyn,2026/27,Clavia Świątniki Górne,https://krakow.malopolskizpn.pl/rozgrywki/2026-2027/seniorzy/myslenice-klasa-a-83c3b646/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:1,1.00,2:2,2026-09-05,Topór przegrywał do przerwy 0:1 i doprowadził do remisu 2:2
Orzeł Nowa Wieś,2026/27,Szczebel Lubień,https://krakow.malopolskizpn.pl/rozgrywki/2026-2027/seniorzy/myslenice-klasa-a-83c3b646/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:1,1.00,3:2,2026-09-06,Orzeł przegrywał do przerwy 0:1 i wygrał 3:2
Skalnik Trzemeśnia,2026/27,Pasternik Ochojno,https://krakow.malopolskizpn.pl/rozgrywki/2026-2027/seniorzy/myslenice-klasa-a-83c3b646/?view=schedule,2026-09-16,official_match_record,comeback_from,,0:1,1.00,1:1,2026-09-06,Skalnik przegrywał do przerwy 0:1 i wyrównał na 1:1
LKS Rudnik,2026/27,LKS Trzebunia,https://krakow.malopolskizpn.pl/rozgrywki/2026-2027/seniorzy/myslenice-klasa-a-83c3b646/?view=schedule,2026-09-16,official_match_record,comeback_from,,1:2,1.00,5:2,2026-09-12,Rudnik przegrywał do przerwy 1:2 i wygrał 5:2
Topór Tenczyn,2026/27,Orzeł Nowa Wieś,https://regiowyniki.pl/mecz/273710/Pilka_Nozna/Malopolskie/Klasa_A,2026-08-30,post_match,own_goal,,Bartłomiej Rokosz,0.95,5:1,2026-08-30,RegioWyniki oznacza trafienie Bartłomieja Rokosza jako bramkę samobójczą
